match_id,stat,difference
TEAM BDS vs G2 STRIDE,time powerslide,1.5
TEAM BDS vs G2 STRIDE,count powerslide,-8.0
TEAM BDS vs G2 STRIDE,time behind ball,98.25999999999999
TEAM BDS vs G2 STRIDE,time in front of ball,-96.68999999999997
TEAM BDS vs G2 STRIDE,time defensive half,-113.81999999999994
TEAM BDS vs G2 STRIDE,time offensive half,115.38999999999999
TEAM BDS vs G2 STRIDE,time defensive third,-126.32999999999998
TEAM BDS vs G2 STRIDE,time neutral third,36.00999999999999
TEAM BDS vs G2 STRIDE,time offensive third,91.89999999999998
TEAM BDS vs G2 STRIDE,time ball possession,-8.22999999999999
TEAM BDS vs G2 STRIDE,time ball in own side,-38.18000000000001
TEAM BDS vs G2 STRIDE,demos inflicted,1.0
TEAM BDS vs G2 STRIDE,demos taken,-1.0
G2 STRIDE vs TEAM BDS,game duration,0.0
G2 STRIDE vs TEAM BDS,score,357.0
G2 STRIDE vs TEAM BDS,goals,2.0
G2 STRIDE vs TEAM BDS,assists,1.0
G2 STRIDE vs TEAM BDS,saves,3.0
G2 STRIDE vs TEAM BDS,shots,0.0
G2 STRIDE vs TEAM BDS,shots conceded,0.0
G2 STRIDE vs TEAM BDS,goals conceded,-2.0
G2 STRIDE vs TEAM BDS,shooting percentage,25.0
G2 STRIDE vs TEAM BDS,bpm,-47.0
G2 STRIDE vs TEAM BDS,avg boost amount,-1.0
G2 STRIDE vs TEAM BDS,amount collected,-374.0
G2 STRIDE vs TEAM BDS,amount collected big pads,-491.0
G2 STRIDE vs TEAM BDS,amount collected small pads,117.0
G2 STRIDE vs TEAM BDS,count collected big pads,-1.0
G2 STRIDE vs TEAM BDS,count collected small pads,10.0
G2 STRIDE vs TEAM BDS,amount stolen,-292.0
G2 STRIDE vs TEAM BDS,amount stolen big pads,-324.0
G2 STRIDE vs TEAM BDS,amount stolen small pads,32.0
G2 STRIDE vs TEAM BDS,count stolen big pads,-3.0
G2 STRIDE vs TEAM BDS,count stolen small pads,-1.0
G2 STRIDE vs TEAM BDS,0 boost time,-23.05000000000001
G2 STRIDE vs TEAM BDS,100 boost time,41.980000000000004
G2 STRIDE vs TEAM BDS,amount used while supersonic,229.0
G2 STRIDE vs TEAM BDS,amount overfill total,607.0
G2 STRIDE vs TEAM BDS,amount overfill stolen,33.0
G2 STRIDE vs TEAM BDS,time slow speed,-15.029999999999973
G2 STRIDE vs TEAM BDS,time boost speed,-16.129999999999995
G2 STRIDE vs TEAM BDS,time supersonic speed,45.03999999999999
G2 STRIDE vs TEAM BDS,time on ground,-13.740000000000009
G2 STRIDE vs TEAM BDS,time low in air,23.720000000000027
G2 STRIDE vs TEAM BDS,time high in air,3.8799999999999955
G2 STRIDE vs TEAM BDS,time powerslide,3.8099999999999987
G2 STRIDE vs TEAM BDS,count powerslide,32.0
G2 STRIDE vs TEAM BDS,time behind ball,164.19999999999993
G2 STRIDE vs TEAM BDS,time in front of ball,-150.33
G2 STRIDE vs TEAM BDS,time defensive half,39.889999999999986
G2 STRIDE vs TEAM BDS,time offensive half,-26.019999999999982
G2 STRIDE vs TEAM BDS,time defensive third,29.970000000000027
G2 STRIDE vs TEAM BDS,time neutral third,-14.120000000000005
G2 STRIDE vs TEAM BDS,time offensive third,-1.9899999999999807
